location,age_group_id,mean
AFG,34,0.196
AFG,36,0.19
AFG,6,0.192
AFG,7,0.212
AFG,8,0.159
AFG,9,0.241
AFG,38,0.459
AFG,10,0.323
AFG,11,0.399
AFG,12,0.455
AFG,13,0.505
AFG,14,0.524
AFG,15,0.57
AFG,16,0.589
AFG,17,0.596
AFG,18,0.578
AFG,19,0.564
AFG,20,0.528
AFG,21,0.458
AGO,34,0.195
AGO,36,0.182
AGO,6,0.192
AGO,7,0.196
AGO,8,0.145
AGO,9,0.237
AGO,38,0.462
AGO,10,0.331
AGO,11,0.402
AGO,12,0.454
AGO,13,0.497
AGO,14,0.528
AGO,15,0.572
AGO,16,0.592
AGO,17,0.6
AGO,18,0.583
AGO,19,0.572
AGO,20,0.542
AGO,21,0.478
ALB,34,0.396
ALB,36,0.298
ALB,6,0.366
ALB,7,0.255
ALB,8,0.184
ALB,9,0.247
ALB,38,0.51
ALB,10,0.419
ALB,11,0.559
ALB,12,0.602
ALB,13,0.637
ALB,14,0.676
ALB,15,0.571
ALB,16,0.508
ALB,17,0.524
ALB,18,0.511
ALB,19,0.497
ALB,20,0.46
ALB,21,0.396
AND,34,0.177
AND,36,0.171
AND,6,0.213
AND,7,0.179
AND,8,0.112
AND,9,0.185
AND,38,0.354
AND,10,0.244
AND,11,0.283
AND,12,0.33
AND,13,0.365
AND,14,0.392
AND,15,0.419
AND,16,0.454
AND,17,0.469
AND,18,0.469
AND,19,0.478
AND,20,0.508
AND,21,0.47
ARE,34,0.209
ARE,36,0.312
ARE,6,0.236
ARE,7,0.411
ARE,8,0.384
ARE,9,0.491
ARE,38,0.647
ARE,10,0.578
ARE,11,0.658
ARE,12,0.728
ARE,13,0.772
ARE,14,0.697
ARE,15,0.722
ARE,16,0.735
ARE,17,0.666
ARE,18,0.643
ARE,19,0.632
ARE,20,0.476
ARE,21,0.409
ARG,34,0.269
ARG,36,0.264
ARG,6,0.26
ARG,7,0.277
ARG,8,0.251
ARG,9,0.327
ARG,38,0.521
ARG,10,0.416
ARG,11,0.503
ARG,12,0.514
ARG,13,0.541
ARG,14,0.546
ARG,15,0.567
ARG,16,0.587
ARG,17,0.643
ARG,18,0.657
ARG,19,0.649
ARG,20,0.637
ARG,21,0.611
ARM,34,0.311
ARM,36,0.236
ARM,6,0.276
ARM,7,0.219
ARM,8,0.145
ARM,9,0.168
ARM,38,0.53
ARM,10,0.307
ARM,11,0.457
ARM,12,0.547
ARM,13,0.599
ARM,14,0.656
ARM,15,0.682
ARM,16,0.699
ARM,17,0.707
ARM,18,0.695
ARM,19,0.689
ARM,20,0.663
ARM,21,0.624
ATG,34,0.158
ATG,36,0.158
ATG,6,0.166
ATG,7,0.175
ATG,8,0.133
ATG,9,0.218
ATG,38,0.428
ATG,10,0.304
ATG,11,0.367
ATG,12,0.422
ATG,13,0.469
ATG,14,0.493
ATG,15,0.536
ATG,16,0.552
ATG,17,0.556
ATG,18,0.536
ATG,19,0.532
ATG,20,0.493
ATG,21,0.437
AUS,34,0.198
AUS,36,0.237
AUS,6,0.242
AUS,7,0.287
AUS,8,0.216
AUS,9,0.405
AUS,38,0.621
AUS,10,0.481
AUS,11,0.558
AUS,12,0.595
AUS,13,0.653
AUS,14,0.684
AUS,15,0.724
AUS,16,0.75
AUS,17,0.766
AUS,18,0.771
AUS,19,0.772
AUS,20,0.729
AUS,21,0.626
AUT,34,0.179
AUT,36,0.176
AUT,6,0.172
AUT,7,0.197
AUT,8,0.155
AUT,9,0.288
AUT,38,0.512
AUT,10,0.377
AUT,11,0.412
AUT,12,0.463
AUT,13,0.526
AUT,14,0.557
AUT,15,0.62
AUT,16,0.653
AUT,17,0.675
AUT,18,0.681
AUT,19,0.697
AUT,20,0.667
AUT,21,0.622
AZE,34,0.307
AZE,36,0.24
AZE,6,0.266
AZE,7,0.229
AZE,8,0.165
AZE,9,0.255
AZE,38,0.634
AZE,10,0.424
AZE,11,0.548
AZE,12,0.666
AZE,13,0.715
AZE,14,0.744
AZE,15,0.753
AZE,16,0.819
AZE,17,0.821
AZE,18,0.813
AZE,19,0.807
AZE,20,0.784
AZE,21,0.74
BDI,34,0.097
BDI,36,0.081
BDI,6,0.087
BDI,7,0.082
BDI,8,0.06
BDI,9,0.083
BDI,38,0.165
BDI,10,0.119
BDI,11,0.144
BDI,12,0.161
BDI,13,0.173
BDI,14,0.183
BDI,15,0.209
BDI,16,0.22
BDI,17,0.226
BDI,18,0.215
BDI,19,0.21
BDI,20,0.19
BDI,21,0.149
BEL,34,0.212
BEL,36,0.197
BEL,6,0.21
BEL,7,0.194
BEL,8,0.172
BEL,9,0.285
BEL,38,0.526
BEL,10,0.382
BEL,11,0.464
BEL,12,0.49
BEL,13,0.537
BEL,14,0.586
BEL,15,0.623
BEL,16,0.668
BEL,17,0.684
BEL,18,0.689
BEL,19,0.696
BEL,20,0.665
BEL,21,0.599
BEN,34,0.175
BEN,36,0.1
BEN,6,0.108
BEN,7,0.075
BEN,8,0.051
BEN,9,0.08
BEN,38,0.202
BEN,10,0.118
BEN,11,0.166
BEN,12,0.185
BEN,13,0.211
BEN,14,0.222
BEN,15,0.264
BEN,16,0.282
BEN,17,0.296
BEN,18,0.297
BEN,19,0.286
BEN,20,0.262
BEN,21,0.223
BFA,34,0.099
BFA,36,0.089
BFA,6,0.109
BFA,7,0.086
BFA,8,0.063
BFA,9,0.112
BFA,38,0.227
BFA,10,0.164
BFA,11,0.207
BFA,12,0.23
BFA,13,0.269
BFA,14,0.265
BFA,15,0.28
BFA,16,0.291
BFA,17,0.292
BFA,18,0.274
BFA,19,0.262
BFA,20,0.232
BFA,21,0.186
BGD,34,0.033
BGD,36,0.045
BGD,6,0.037
BGD,7,0.061
BGD,8,0.049
BGD,9,0.134
BGD,38,0.169
BGD,10,0.142
BGD,11,0.185
BGD,12,0.208
BGD,13,0.213
BGD,14,0.201
BGD,15,0.201
BGD,16,0.188
BGD,17,0.162
BGD,18,0.131
BGD,19,0.108
BGD,20,0.082
BGD,21,0.099
BGR,34,0.303
BGR,36,0.262
BGR,6,0.284
BGR,7,0.266
BGR,8,0.198
BGR,9,0.242
BGR,38,0.543
